reference,nom_csv,nom_site
LIVMATAIR,Forfait livraison compresseur et matelas air,Collier cervical anatomique DonJoy C2 - T2...
LIVAEROSOL,Forfait livraison aerosol,Aerosol bactéricide menthe 750 ml PUCK
LIVVERTIC,Forfait livraison verticalisateur,Fauteuil roulant électrique...
LIVLEVMAL,Forfait livraison lève personne,Stéthoscope Idéal+ - Pavillon simple - Noir
COUSSINAEFAP,coussin anti escarre classe 2 pour fap,Accroche-canne Patterson
LIVDEAMB,Forfait livraison déambulateur,Stéthoscope Idéal+ - Pavillon simple - Noir
COUSSINPOSDEC,Coussin de positionnement décubitus,Coussins Kalli Visco 42 x 42 x 8 cm
APPSOUT,appareil de soutien partiel de la tête pour fap,Masques à oxygène moyenne concentration...
HX_SUBSBM1AC004,Pack de 4 électrodes 50 x 90 mm,Neurostimulateur connecté actiTENS Pack de...
HX_INVBW1533739A3,"Fauteuil  Action 3NG fixe Stock T. 45,5cm",Fauteuil Action 3NG inclinable Stock T. 38...
HX_INVBW1533737A3,"Fauteuil Action 3NG fixe Stock T. 40,5 cm",Fauteuil Action 3NG inclinable Stock T. 38...
HX_INVBW1533738A3,Fauteuil Action 3NG fixe Stock T. 43 cm,Fauteuil Action 3NG inclinable Stock T. 38...
HX_INVBR1538209,"Fauteuil Action 2NG fixe Stock T. 40,5 cm",Fauteuil Action 2NG - 405x400
HX_INVBR1538211,"Fauteuil Action 2NG fixe Stock T. 45,5 cm",Fauteuil Action 2NG fixe Stock T. 43 cm
HX_INVBW1533736A3,Fauteuil Action 3NG fixe Stock T. 38cm,Fauteuil Action 3NG inclinable Stock T. 38...
HX_INVBW1533740A3,Fauteuil Action 3NG fixe Stock T. 48cm,Fauteuil Action 3NG inclinable Stock T. 38...
HX_INVBR1538212,Fauteuil Action 2NG fixe Stock T. 48 cm,Fauteuil Action 2NG fixe Stock T. 43 cm
HX_INVBW1533741A3,"Fauteuil Action 3NG fixe Stock T. 50,5 cm",Fauteuil Action 3NG inclinable Stock T. 38...
HX_INVBW1533749A3,"Fauteuil  Action 3NG inclinable Stock T. 40,5 cm",Fauteuil Action 3NG inclinable Stock T. 38...
HX_INVBR1655007,"Fauteuil Action 2NG inclinable Stock T. 50,5 cm","Fauteuil Action 2NG fixe Stock T. 50,5 cm"
HX_INVBR1538218,Fauteuil Action 2NG inclinable Stock T. 43 cm,Fauteuil Action 2NG fixe Stock T. 43 cm
HX_INVBR1538219,"Fauteuil Action 2NG inclinable Stock T. 45,5 cm",Fauteuil Action 2NG - 405x400
HX_ERGNC920E10,Commande tierce personne,Lampe LED + fixation
HX_ERGNC7E10,Commande tierce personne,Commande de paramétrage
HX_WHEELEO,Rollator à une main Wheeleo - Pack de 3,Wheeleo® - Déambulateur à une main
HX_WHEELEOPACK,Rollator à une main Wheeleopack - Pack lancement 2+1 - Wheeleo,Wheeleo® - Déambulateur à une main
HX_WHEELEOPACKBAG,Déambulateur à 1 main - Pack de lancement 2+1 + 8  WheeBag,Fauteuil roulant manuel pliable pour la...
HX_WHEELEO2DBAG,Déambulateur canne à 4 pied (quadipode) x2 + 8 WHEEBAG,Wheeleo® - Déambulateur à une main
HX_COL334080,Pansement Biatain Silicone Multisite  14 x 19.5 cm,Poche à urine de nuit Conveen
HX_HAR609666,"Pansement irrigo-absorbant HydroClean Advance rond 5,5 cm diam.",Set de sondage urinaire MediSet®
HX_HAR609664,Pansement irrigo-absorbant HydroClean Advance ovale 4 x 8 cm,Set de sondage urinaire MediSet®
HX_HAR609662,Pansement irrigo-absorbant HydroClean Advance rond 4 cm diam.,Pansement Méchage - MediSet®
HX_HAR413653,Pansement absorbant Zetuvit Stérile 15 x 20 cm,Pansement RespoSorb® Silicone Border 15 x...
HX_HAR478285,Pansements post-op / Petites plaies avec coupe-fils MediSet,Pansements post-op / Plaies moyennes avec...
HX_COL37152,Pansement Biatain Alginate 15 x 15 cm,Etui pénien Conveen Optima Specific 35Mm
HX_COL335090,"Pansement Biatain Fiber 3,5 x 46 cm",Poche à urine 250 ml Conveen Active
HX_COL335050,Pansement Biatain Fiber 12.5 x 12.5 cm,Poche à urine 250 ml Conveen Active
HX_CLE7041,"35 Yannick fermé, cuir, mixte noir T35","Chaussures fermées - Yannick - cuir, mixte..."
HX_SYL2067882,Pansement absorbant Sylavit 10 x 10 cm stérile,Pansement absorbant Sylavit 10 x 20 cm...
HX_CARCX9135,Exerciseur muscle pelvien,Planche de transfert pliable Roller Slide...
HX_DEVIGOB0005,Pince Adson S/G 12 cm,Ciseaux Dauphin droits 14 cm
HX_SANBT150,Tire-Lait Saturn Connecté,Sac à dos médical City Elite Bags
HX_SANBTF32,Téterelle 32mm,Set recueil avec colier et capuchon de...
HX_BED101NT0116020021,Draps housse 160X200 Gris Dermofresh,Draps housse 160X200 Blanc Dermofresh
HX_BEDH12NT470902002001,Housse intégrale 90X200X20 Blanc,Housse intégrale de matelas Dermofresh...
HX_BED151NT0112020001,Drap housse ICE 120x200 Blanc natural,Drap housse ICE 120x200 Gris
HX_BED151NT0109020001,Drap housse ICE 90x200 Blanc natural,Drap housse ICE 90x200 Gris
HX_BED101NT2406004029,Taie d'oreiller reva 60X40 Vert d'eau,Taie d'oreiller reva 60X40 Gris
HX_BED101NT2406004034,Taie d'oreiller reva 60X40 Rose,Taie d'oreiller reva 60X40 Gris
HX_BEDH12NT471402002001,Housse intégrale 140X200X20 Blanc,Housse intégrale 140X200X15 Blanc
HX_SANBTF27,Téterelle 27mm,Sac à dos médical City Elite Bags
HX_BED151NT0114020001,Drap housse ICE 140x200 Blanc natural,Drap housse ICE 140x200 Gris
HX_BIO113116102,Bladderscan Caresono PADSCAN HD2,Attelle ligamentaire Donjoy ACL Everyday...
HX_LIVPICOMICRO,Fauteuil releveur économique 1 moteur Pico,Fauteuil releveur économique Pico Micro -...
HX_CV1090300,Immobilisateur avec Protection des Mains,Etui pénien Conveen Optima Standard
HX_HAR900870,Pansement adh Cosmopor 7.2x5-BT50,"Pansement Cosmopor® E 7,2 x 5 cm. La boîte..."
HX_IDE80131430S,ID Super protect 40*60 ST30,ID Super protect 40 x 60 cm
HX_IDD81311430,ID Protect extra plus 60*90-ST 30,ID Discreet Underpads Extra Plus - 60 x 90 cm
HX_LIVPDTELECOMMANDE4M,Télécommande SK-50K pour fauteuil 4M,Télécommande universelle Verticalis
HX_MEDA1060,Doigtiers 2 doigts - Non stériles - TU,Doigtier roulé sans poudre Latex - S
HX_MEDM1310130,Compresse non tissé NST - 4 plis - 30 gr 5 cm x 5 cm-BT100,Compresse non tissé non stérile - 4 plis -...
HX_MEDM50004,Set de soin n°4 Vrac,Set de soins stérile N°4
HX_MEDM50018,Set de suture N°18,Set de soin n°6
HX_MED69OR1L,"Blouse visiteur avec boutons pression, 2 poches   Taille L",Blouse de protection visiteur Taille : L.
HX_MED69OR1XL,"Blouse visiteur avec boutons pression, 2 poches  Taille XL",Blouse de protection visiteur Taille : XL.
HX_MEDM500145,Set de soin n°9,Set de soins - Stérile - N°9
HX_MEDM13003S2,Compresse gaze ST 17 fils - 8 plis 10cmx10cm,Compresse gaze stérile 17 fils - 8 plis -...
HX_MEDM13101S5,Compresse non tissé ST - 4 plis - sachet de 5  5 cm x 5 cm,Compresse non tissée stérile - 4 plis - 5...
HX_MEDM13103S5,Compresse non tissé ST - 4 plis - sachet de 5  10 cm x 10 cm,Compresse non tissée stérile - 4 plis - 10...
HX_MEDM13102S5,"Compresse non tissé ST - 4 plis - sachet de 5   7,5 cm x 7,5 cm",Compresse non tissée stérile - 4 plis -...
HX_MEDM50003,"Set de soin N°3 5 compresses en Non tissé 7,5 x",Set de soins N°2
HX_SCA712400,TENA Slip Maxi Medium le sachet de 24,TENA Slip Proskin Maxi - Taille Medium
HX_DIDPMFML50F,"Prolongateur PVC 2,5 x 4,1 mm 1V LL MOB 50 CM BPAF",Fauteuil roulant électrique pliant Alber...
HX_MEDHCS892,Nebuliseur Micro Mist sans Masque-UN,Nébuliseur Micro Mist avec embout buccal
HX_MEDM14B07P,C-Boule De Coton 0.6 Gr-ST700,Boule de coton x700
HX_PHA072900,C-Tapis amortissement Sécurform - UN,Tapis d'amortissement Sécurform
HX_PRANA03153IN,Gobelet gradué 30 ml transparent ST90,Gobelet gradué 30 ml transparent
HX_TERSRDM1845WD,C-Catheter court à ailettes SURFLO W 18 G - BTE 50,Cathéter court à ailettes SURFLO W 18 G
HX_VYG0VENP2GT,C-Poche Nutrition 1200Ml+Comp Glace (N)-ST50,Gel hygiène intime 250 ml
HX_RAF020626,Filet tubulaire élastique - Main - T. 3,Filet tubulaire élastique - Sans latex -...
HX_TERSAN2225R1,Aiguille hypodermique de sécurité SAFETY AGANI  22Gx1''-0.70x25mm-Noir -BTE 100,Aiguilles hypodermiques de sécurité Agani...
HX_HEIK00034206,Petit embout de contact DELTA 30-UN,Petites plaques de contact DELTA 30
HX_TESTTEST,TEST/TEST,TENA ProSkin Cellduk - Dimensions : 25 x...
HX_HEXLRESPTRANSFO,Transformateur + cable fauteuil releveur Emile/Marcel,Fauteuil roulant actif fixe Nitrum Quickie
HX_HEXLRESPFTRM,Vérin repose-pieds fauteuil releveur Emile/Marcel,Attelle de poignet-main DonJoy RESPIFORM -...
HX_HEXLRESPBKRM,Vérin pour dossier fauteuil releveur Emile/Marcel,Casque TV sans fil TV3500
HX_HEXLRESP1M,Vérin pour moteur fauteuil Emile,Assistance électrique à la propulsion...
HX_HEXSTANDPARALPM,Prêt Stand Parapluie LPM,Rouleaux de draps d'examen Confort gaufrés...
HX_SED650241,Registre des déclarations de décès,Gaine de stérilisation - 150 mm x 200 m
HX_SED650113,CARNET DE RELEVES NOMINATIFS ADMINISTRATION ET GESTION DES STOCKS DE STUPEFIANTS,Tubulure à oxygène Hudson Star-Lumen
HX_HEXSTANDPARATDS,Prêt Stand Parapluie courbe TDS,Cuillère à soupe caoutchouc Goodgrip...
HX_BDMZ5301,MaxZero prémonté sur prolongateur simple - 18cm - Clamp coulissant,Sparadrap 3M™ Micropore™ sans dévidoir...
HX_BDMZ9283,Prolongateur multivoies avec valve bidirectionnelle,Seringue Discardit II BD 2 ml
HX_ID531026521002,ID Form extra Long - ST 21,ID Form Extra long - 31 x 64 cm
HX_BED101NT0108020021,Draps housse 80x200 Gris Dermofresh,Draps housse 80x200 Blanc Dermofresh
HX_BED101NT0114020021,Draps housse 140X200 Gris Dermofresh,Draps housse 140X200 Blanc Dermofresh
HX_BED101NT0112020021,Draps housse 120x200 Gris Dermofresh,Draps housse 120x200 Blanc Dermofresh
HX_SYNOSIRIS,Douche au lit OSIRIS,Aiguilles hypodermiques - Noires - 22 G -...
HX_TERMDSS05SE,Seringue 3 pièces 5 ml Embout centré,Seringues 3 pièces - 5 ml - Luer slip
HX_3M1657R,"Pansement de maintien Tegarderm 3M CHG IV 11,5 x 8,5 cm",Suture cutanée adhésive Steri-Strip 100 x...
HX_3MST2176,Stéthoscope Master Cardiology - Simple pavillon - Noir,Master Cardiologie Littmann® Modèle Smoke...
HX_HALISPAHAN0,Tunique homme Ispahan Taille 0 (36/38),Tunique homme Ispahan - Taille 3 (48/50)
HX_HALJAVA0,Pantalon mixte Java taille 0 (36/38),Pantalon mixte Java - Taille 3 (48/50)
HX_HALBYZAN0,Tunique femme Byzan taille 0 (36/38),Tunique femme Byzan - Taille 3 (48/50)
HX_HALVOLGA0,Tunique femme Volga Taille 0 (36/38),Tunique femme Volga - Taille 3 (48/50)
HX_ANIPACKDSVAVAPEUR,Pack DSVA et VAPEUR,Pack DSVA et VAPEUR MINI
HX_BD405256,Aiguille spinale BD Yale 90 mm,Aiguilles spinales BD Yale™ - 22 G -...
HX_BD300613,Seringue Plastipak 20 ml cone centré,Seringue Plastipak 20 ml - Cône excentré
HX_BD381223,Catheter Insyte 22 G 25 mm bleu,Catheter Insyte Standard 22 G 25 mm bleu
HX_BD405252,Aiguille spinale BD Yale™ 20 G,Aiguilles spinales BD Yale™ - 20 G -...
HX_BD405253,Aiguille spinale BD Yale™ 20 G,Aiguilles spinales BD Yale™ - 20 G -...
HX_BD405257,Aiguille spinale BD Yale™ 25G,Aiguilles spinales BD Yale™ - 25 G-...
HX_BDTP,Bouchon TP,Bouchon Luer Lock mâle/femelle TP-MF
HX_BD309110,Seringues 2 pièces 10 ml  Discardit II,Seringue Discardit II BD 10 cc. Embout...
HX_BD383318,Microperfuseur de sécurité droit 24G,Cathéter sécurisé BD Saf-T Intima™ 1 voie...
HX_BD383339,Microperfuseur de sécurité Y 20G rose,Cathéter sécurisé BD Saf-T Intima™ 2 voies...
HX_BD329605,Aiguilles à stylo sécurisées avec double protection BD Autoshield™,Aiguilles sécurisées pour stylo avec...
HX_BD394926,Robinet BD Connecta 3 voies,Robinet BD™ Connecta™ 3 voies Avec...
HX_BD381823,Catheter Insyte 22 G 25 mm Bleu Sans Ailettes,Catheter Insyte Sécurisé 22 G 25 mm Bleu...
HX_BD303175,"Seringue BD Plastipak 3 Pièces Tuberculine 1ML Prémontée  avec aiguille BD Microlance 25 G - L. 16 mm x 0,50 mm - Boîte de 120",Seringue BD Plastipak™ avec aiguille BD...
HX_COL334850,Pansement Biatain Adhesive Sacrum 23 x 23 cm,Attelles de doigt alu / mousse - type...
HX_COM4500251,"Suite fiche médicale Stern-Org, grand modèle",Fiche médicale Stern-Org Suites de fiches...
HX_COM4500261,Suite fiche médicale Stern-Org petit modèle,Fiche médicale Stern-Org Suites de fiches...
HX_COM2910242,Ciseaux universels de Jesco Jaune,Ciseaux universels de Jesco 17 cm Jaune....
HX_COM2470025C,"Speculum auriculaire couleur 2,5 mm",Spéculums auriculaires
HX_COM2912502,Rasoir jetable 2 lames boite de 100,Rasoir jetable Rasoirs 2 lames.
HX_COM1620052,Broyeur de comprimés ergonomique,Urinal gradué pour homme sans bouchon
HX_DEVIGOB0429,Pince Halstead courbe S/G 13 cm,Pince Halstead courbe Sans Griffes 13 cm
HX_DEVIGOB0430,Pince Halstead droite A/G 13 cm,Pince Halstead droite à griffes 13 cm
HX_CAGLS,Gants latex poudrés - Taille S - 6/7,Gants latex poudrés - Taille M - 7/8
HX_COL334871,Pansement Biatain Adhésive Talon 23 x 23 cm.,Sonde urinaire SpeediCath Compact Set Homme
HX_EMI712305,Chevalet A3 culotte incontinence Femme,Chaussure Post-Op Donjoy Podalux II - S -
HX_EMI712303,Chevalet A3 boxer incontinence Homme,Pansement gras stérile Jelonet  5 x 5 cm
HX_EMI712304,Chevalet A3 culotte règle Fille et Femme,Boite de 100 abaisse-langue
HX_EMIA712122,Présentoir Culotte règle Fille et Femme,Horloge calendrier à LED rouge
HX_EMIA712257,Présentoir Boxer incontinence Homme,Huile de Massage et de soin
HX_EMIA712117,Bout de broche Boxer incontinence Homme,Savon doux Aniosafe - 250 ml
HX_EMIA712237,Bout de broche Culotte incontinence Femme,Grenouillère Manches Longues en Interlock...
HX_EMIA712113,Bout de broche Culotte règle Fille et Femme,TENA ProSkin Slip Super - Taille XL
HX_HEIX00188034,"AMPOULE XHL XENON HALO.2,5V #34","AMPOULE XHL XENON HALO.2,5V"
HX_HEID00871105,Tête ophtalmoscope mini 3000 à LED,Ophtalmoscope mini 3000 - LED - Noir
HX_HEIX00188109,"Ampoule 2,5V pour dermatoscope mini 3000 #109","Ampoule 2,5V pour dermatoscope mini 3000"
HX_HEIB00811400,Tête Otoscope BETA 400 LED F.O.,"Otoscope Beta 400 F.O. LED Tête seule,..."
HX_HEIX00799396,Poignée complète + Batterie Li-ion et Culos BET,Poignée rechargeable Li-ion Beta 4 USB et...
HX_HEIX00299494,Chargeur NT 4,Poignée rechargeable Li-ion Beta 4 USB et...
HX_HEIM00009945,0 P.OLIVES GRANDES/SOUPLES 5MM,Olives grandes/souples 5 mm
HX_HEIB00111400,Tête Otoscope Beta 400 F.O.,Otoscope Beta 400 F.O.
HX_HEID00871105N,Tête ophtalmoscope mini 3000 à LED - Noir,Ophtalmoscope mini 3000 - LED - Noir
HX_HEID00873109,Mini-c,Lampe d'examen portable à clip Mini C Noir.
HX_FRAEDA031,Papier ECG Edan SE 300B + SE 301,Oxymètre de pouls professionnel Edan H100B
HX_GIL612731,Alcool à 70° 250 ml,Alcool à 70° vol. 250 ml. (Présenté.)
HX_GIL606768,Cold cream tube de 50 ml,Cold cream Tube de 50ml.
HX_GIL612874,Sérum physiologique stérile 5 ml,Sérum physiologique stérile La boite de...
HX_GIL612870,Solution sans rinçage flacon de 500 ml,Solution nettoyante sans rinçage Le flacon...
HX_HAR413654,Pansement absorbant Zetuvit Stérile 20 x 25 cm,Pansement RespoSorb® Silicone Border 16 x...
HX_HAR413652,Pansement absorbant Zetuvit Stérile 10 x 20 cm,"Pansement RespoSorb® Silicone Border 12,5..."
HX_HAR413651,Pansement absorbant Zetuvit Stérile 10 x 10 cm,Pansement RespoSorb® Silicone Border 10 x...
HX_HAR609609,Pansement irrigo-absorbant HydroClean Advance  Mini rond 3 cm diam.,Pansement plaies suturées avec agrafes...
HX_HAR609166,"Pansement irrigo-absorbant HydroClean Advance Cavity rond 5,5 cm diam.",Pansement hydrocellulaire Cosmopor®...
HX_HAR609162,Pansement irrigo-absorbant HydroClean Advance Cavity rond 4 cm diam.,Pansement Méchage - MediSet®
HX_HEXLRESPWHEELS,Roues fauteuil releveur Emile/Marcel,Casque TV sans fil TV3500
HX_HEXSPTRANSFO,Transformateur + cable fauteuil releveur Basil/Georges,Protège matelas imperméable et respirant...
HX_HEXSPSPRING,Ressort pour fauteuil releveur Basil/Georges,Désodorisant surpuissant Sauvageon King
HX_HEXSPREMOTE,Télécommande fauteuil releveur Basil/Georges,"Seringues 3 pièces - 2,5 ml - Luer Lock..."
HX_HEXSPFTRM,Vérin repose-pieds fauteuil releveur Basil/Georges,HEXAform Maxi - Sachet de 20
HX_HEXSPBKRM,Vérin pour dossier fauteuil releveur Basil/Georges,HEXAform Maxi - Sachet de 20
