reference,nom_csv,nom_site
HX_HEXLRESPSPRING,Set de ressorts fauteuil releveur Emile/Marcel,Casque TV sans fil TV3500
HX_HOLCPCURE01,Curettes dermatologiques stériles 2 mm,Curette dermatologique à usage unique...
HX_ID553136514001,iD Pants - Plus - L,iD Pants - Plus - XL
HX_ID553126514002,iD Pants - Plus - M,iD Pants - Plus - XL
HX_ID5171055101,iD Light Advanced Discreet Protection Féminine - Maxi,iD Discreet Light Advanced Protection...
HX_ID5630175140,iD Slip - Super - S,iD Slip - Super - XXL
HX_INP3760371010950,Taie d'oreiller pour oreiller papillon Multi-positions,Taie d’Oreiller Cervical Confort Plus en...
HX_MKLLS1,Lait hydratant Corps & Mains Lait d'Anesse BIO 200 ml,Savon solide au lait d'ânesse Bio neutre
HX_MKLTDM103,TESTEUR Crème famille BIO 100 ml AQUA,Crème famille Dermo-Hydratante BIO 100ml Aqua
HX_MKLPDM1,Présentoir AQUA Dermo Soins,Gel douche Dermo-Nettoyant BIO 1L Aqua
HX_MKLPSTDM,Stop rayon Aqua,Baume à lèvres au karité Bio
HX_MKLDM1,Gel douche Dermo-Nettoyant BIO 1L Aqua,Crème famille Dermo-Hydratante BIO 100ml Aqua
HX_MKLPNTDM,Nez de tablette AQUA,Gel douche Dermo-Nettoyant BIO 1L Aqua
HX_AKSCECOMPPF,Module pelvien Eco,Ceinture abdominale Eco Evolutive
HX_ART02050076100000,Couvercle pour bassin (blanc),Bassin de lit Couvercle pour bassin de lit .
HX_ART02022727100150,Seringue insuline 1 ml,Seringue à insuline Insumed - 1 ml
HX_ART58043027040100,Aiguilles de mésothérapie  27 G x 4 mm,"Aiguilles de mésothérapie  - 27 G x 5/32"""
HX_ART58071000090150,Seringue à insuline sans aiguille 1 ml,Seringues à insuline sans aiguille - 1 ml...
HX_ART58076000090100,Seringue sans aiguille 10 ml Luer central,Seringues sans aiguille - 10 ml - Luer...
HX_ART58073000090100,"Seringue sans aiguille 2,5 ml Lueur central","Seringues sans aiguille - 2,5 ml - Lueur..."
HX_ART02071250300350,Seringue à insuline - Montée,Seringues à insuline - Montées
HX_REV16679882UL,Ultrason présentoir étagère en carton FR,Tête de recharge Revitive Aerosure
HX_PARST03849,Collecteur Premium 10 L,Collecteurs Premium Collecteur 10 l. Dim....
HX_SWASM67,Lame chirurgicale pour bistouri n° 22A,Lame chirurgicale pour bistouri n° SM64
HX_TEC50822,Accoudoirs Moem,Seau pour chaise percée Moem
HX_SCA711208,TENA ProSkin Slip Super - Taille M,TENA Slip ProSkin Super - Taille M
HX_SCA712500,TENA Slip Maxi Large,TENA Slip ProSkin Maxi - Taille L
HX_TERMDSS01S2516E,Seringue 3 pièces Tuberculine 1 ML 25Gx16mm,Seringues 3 pièces Tuberculine - 1 ml - 25...
HX_TERMDSS01S2613E,Seringue Tuberculine 1ML 26Gx13mm,Seringues Tuberculine - 1 ml - 26 G -...
HX_TERMDSS05S2138E,Seringue 3 pièces 5 ml avec aiguille 21Gx38mm,Seringues 3 pièces - 5 ml - Avec aiguille...
HX_TERMDSS10S2138E,Seringue 3 pièces 10 ml Avec aiguille 21Gx38mm,Seringues 3 pièces - 10 ml - Avec aiguille...
HX_TERMDSS20ESE,Seringue 3 pièces 20 ml Embout excentré,Seringues 3 pièces - 20 ml - Luer Lock...
HX_TERMDSS01SE,Seringue 3 pièces Tuberculine 1 ml sans aiguille,Seringues 3 pièces Tuberculine - Sans...
HX_TERMDSS03SE,Seringue 3 Pièces 3 ml - Luer Slip Terumo,Seringues 3 pièces - 3 ml - Luer Slip centré
HX_TERAN2138R1,Aiguille Hypodermique Verte 21 G,Aiguilles hypodermiques - Vertes - 21 G -...
HX_TERAN2150R1,Aiguille Hypodermique verte 21 G,Aiguilles hypodermiques - Vertes - 21 G -...
HX_TERAN2116R1,Aiguille Hypodermique Verte 21 G,Aiguilles hypodermiques - Vertes - 21 G -...
HX_TERAN2125R1,Aiguille Hypodermique Verte21 G,Aiguilles hypodermiques - Vertes - 21 G -...
HX_TERAN1938R1,Aiguille Hypodermique creme19 G,Aiguilles hypodermiques - Crèmes - 19 G -...
HX_TERAN2038R1,Aiguille Hypodermique Jaune20 G,Aiguilles hypodermiques - Jaunes - 20 G -...
HX_TERAN2025R1,Aiguille Hypodermique Jaune20 G,Aiguille hypodermique - Jaune - 20 G
HX_TERAN1838S1,Aiguille Hypodermique Rose 18 G,Aiguilles hypodermiques - Roses - 18 G -...
HX_TERAN1838R1,Aiguille Hypodermique rose 18 G L. 38 mm,Aiguille Hypodermique Rose 18 G
HX_TERAN3013R1,Aiguille Agani Phlébologie 31/10 13 mm,Aiguilles hypodermiques - Jaunes - 30 G -...
HX_TERSS50L1,Seringue 3 pièces 50 ML Embout luer loc,Seringues 3 pièces - 50 ml - Luer lock centré
HX_TERSS50ES1,Seringue 3 pièces 50 ML Embout excentré,Seringues 3 pièces -50 ml - Luer Slip...
HX_TERSS50C1,Seringue 3 pièces 50 ML Embout cathéter,Seringues 3 pièces - 50 ml - Embout cathéter
HX_TERMDSS03S2138E,Seringues 3 pièces 3ml Avec aiguille,Seringues 3 pièces - Avec aiguille - 3 ml
HX_TERSS20L1,Seringue 3 pièces 20 ml Luer Lock,Seringues 3 pièces - 20 ml - Luer Lock centré
HX_TERAN2719R1,Aiguille Hypodermique gris 27 G L. 19 mm,Aiguilles hypodermiques - Grises - 27 G -...
HX_TERSRDM2032WX,Catheter court à ailettes SURFLO W 20 G,Cathéter et obturateur Cathéter ailettes...
HX_TERSS02LE1,"Seringue 3 pièces 2,5 ml Luer Lock","Seringues 3 pièces - 2,5 ml - Luer Lock..."
HX_TERSS05LE1,Seringue 3 pièces 5 ml Luer Lock,Seringues 3 pièces - 5 ml - Luer Lock centré
HX_TERSS10LE1,Seringue 3 pièces 10 ml Luer Lock,Seringues 3 pièces - 10 ml - Luer Lock centré
HX_TERAN2232R1,Aiguille Hypodermique Noire 22 G,Aiguilles hypodermiques - Noires - 22 G -...
HX_TERAN2238R1,Aiguille Hypodermique Noire 22 G,Aiguilles hypodermiques - Noires - 22 G -...
HX_TERAN2325R1,Aiguille Hypodermique bleue 23 G,Aiguilles hypodermiques - Bleues - 23 G -...
HX_TERAN2332R1,Aiguille Hypodermique bleue 23 G,Aiguilles hypodermiques - Bleues - 23 G -...
HX_TERAN2425R1,Aiguille Hypodermique Violette 24 G,Aiguilles hypodermiques - Violettes - 24 G...
HX_TERAN2516R1,Aiguille Hypodermique Orange 25 G,Aiguilles hypodermiques - Oranges - 25 G -...
HX_TERAN2525R1,Aiguille Hypodermique Orange 25 G,Aiguilles hypodermiques - Oranges - 25 G -...
HX_TERAN2613R1,Aiguille Hypodermique Marron 26 G,Aiguilles hypodermiques - Marrons - 26 G -...
HX_TERAN2716R1,Aiguille Hypodermique gris 27 G L. 16 mm,Aiguilles hypodermiques - Grises -  27 G -...
HX_TERMDSS10ESE,Seringue 3 pièces 10 ml - Embout excentré,Seringues 3 pièces - 10 ml - Luer Slip...
HX_TERSAN2538R1,Aiguille sécurité Safety Agani 25G 38 Mm-Orange,Aiguilles hypodermiques de sécurité Agani...
HX_TERSAN2338R1,Aiguille sécurité Safety Agani 23G 38 Mm-Bleu,Aiguilles hypodermiques de sécurité Agani...
HX_TERSAN2138R1,Aiguille Sécurité Safety Agani 21G 38 Mm-Vert,Aiguilles hypodermiques de sécurité Agani...
HX_TERSAN1838R1,Aiguille sécurité Safety Agani 18G 38 Mm,Aiguilles hypodermiques de sécurité Agani...
HX_EXP03770018808031,Brassard VitaliTENS Standard,Brassard VitaliTENS XS
HX_EXP03770018808017,Brassard VitaliTENS XL,Brassard VitaliTENS XS
HX_CLE474UZEROPLUSBOR40,Sabot ZeroPlus Bordeaux 40,Sabot ZeroPlus Bordeaux 35
HX_CLE474UZEROPLUSBOR42,Sabot ZeroPlus Bordeaux 42,Sabot ZeroPlus Bordeaux 35
HX_CLE475UZEROPLUSLIL42,Sabot ZeroPlus Lila 42,Sabot ZeroPlus Lila 35
HX_WEPEB02010,Sac urgence Elite Bags Critical Rouge,Sac à dos médical City Elite Bags
HX_WEPEB02008,Sac urgence Extrême Elite Bags,Sac à dos Paramed's EVO Elite Bags
HX_MEDM13002S2,"Compresse gaze 17 fils - 8 plis - 7,5 cm x 7,5 cm",Compresse gaze stérile 17 fils - 8 plis -...
HX_MEDM13001S5,COMPRESSES DE GAZE STERILES - 5 x 5 cm - 8 plis,"Compresse gaze stérile 7,5 cm x 7,5 cm"
HX_MEDM50330,Set de pose de stérilet,Tampons alcoolisés
HX_MEDM13002,"Compresse gaze Non Stérile 7,5 cm x 7,5 cm","Compresse gaze stérile 7,5 cm x 7,5 cm"
HX_WHEEBAG,Sac WheeBag Kit,Wheeleo® - Déambulateur à une main
HX_MEDES15211CE40,Champs essential adhésif 75*90cm BT 40,Champs essential adhésif 75*90cm  pBoite...
HX_ERG7M230000,Bombe anti crevaison,Support smartphone
HX_ERG7M10000,Assise positon 3 réglages,Support smartphone
HX_ERG7M090000,Roues avant bandage ERGO 08L,Support smartphone
HX_ERG7M05000G,Pantographe joystick Gauche,Repose jambe Gauche
HX_ERG7M050000,Pantographe joystick Droit,Support smartphone
HX_ERG7M01G000,Accoudoirs Gel E07L/E08L par 2,Support smartphone
HX_ERG7E010000,Adaptateur chargeur batterie E07/ E08,Support smartphone
HX_ERG9T130000,Drap de chargement,Support smartphone
HX_ERG9T05000,Sac de transport Ergo,Support smartphone
HX_CLE471UZEROPLUSNEG42,Sabot ZeroPlus Noir 42,Sabot ZeroPlus Noir 35
HX_CLE471UZEROPLUSNEG37,Sabot ZeroPlus Noir 37,Sabot ZeroPlus Noir 35
HX_CLE470UZEROPLUSBLA40,Sabot ZeroPlus Blanc 40,Sabot ZeroPlus Blanc 38
HX_CLE472UZEROPLUSAZU45,Sabot ZeroPlus Bleu Marine 45,Sabot ZeroPlus Bleu Marine 35
HX_CLE470UZEROPLUSBLA45,Sabot ZeroPlus Blanc 45,Sabot ZeroPlus Blanc 38
HX_CLE470UZEROPLUSBLA46,Sabot ZeroPlus Blanc 46,Sabot ZeroPlus Blanc 38
HX_CLE472UZEROPLUSAZU46,Sabot ZeroPlus Bleu Marine 46,Sabot ZeroPlus Bleu Marine 35
HX_CLE472UZEROPLUSAZU37,Sabot ZeroPlus Bleu Marine 37,Sabot ZeroPlus Bleu Marine 35
HX_CLE471UZEROPLUSNEG46,Sabot ZeroPlus Noir 46,Sabot ZeroPlus Noir 35
HX_ERGNC789M0300,Appui-tête (coussin + fixation),Support smartphone
HX_ERGACT00300,Sacoche / Accoudoirs,Réflecteur arrière
HX_ERGACM00200,Panier Ergo,Porte-tasse
HX_ERGACCO01,Repose-pieds escamotable et amovible,Lampe LED + fixation
HX_ERGAC00300,Chargeur USB,Lampe LED + fixation
HX_ERG8M15P000,Roues arrière pneumatique E08L,Système Clip & go
HX_ERG8M06000,Repose-pieds monobloc,Repose jambe Droit
HX_ERG7P010000,Porte canne + support,Support smartphone
HX_ERG7M240000,Boule de pilotage joystick,Support smartphone
HX_ERGACE00300,Gonfleur électrique portatif,Lampe LED + fixation
HX_WEPWM10795,Tuyau Aspiration Raccord Coude Serre,Aspirateur de mucosités Accuvac Lite...
HX_WEPWF57155,Poche aspiration Serres usage unique 1L Accu,Orthèse rigide de pouce - Main droite T.S
HX_SYS2901HUPN,Kit pour humidification circuit clos,Cadre de marche Bruxelles - Fixe - Drive...
HX_SYS2901HUOV,Kit pour humidification circuit ouvert,Cadre de marche Bruxelles - Fixe - Drive...
HX_SYS2901H,Kit de nébulisation aérosol ultasonic,Système d'irrigation transanale STD...
HX_ONT2316711,BabyCharm Super Dry Nappy New Born 2-5 kg,Babycharm Super Dry Flex  XL 13-18kg
HX_MIKTESTANGINE,Test angine abaisse langue Sejoy,Poche de froid instantané à usage unique...
LOCAERO,Location appareil générateur aerosol pneumatique ou sonique  jusqu'à 4 sem.,Chaussure Post-Op Donjoy PodaPro - XS -
LOCFRM2ACC,Location fauteuil roulant manuel 2 accessoires jusqu'à 52 sem.,Fauteuil roulant Action 3 NG Transit 43 cm
LOCBERCEAU,Location berceau,Autopiqueur Unistik® 3 - Gentle (Doux)
LEVMAL,Location lève personne jusqu'à 32 sem.,TENA Discreet Normal
LOCLIT902F,Location lit médicalisé 2 fonctions électriques 90 cm,Lit médicalisé enfant Kalin Winncare
LOCLIT903F,Location lit médicalisé 3 fonctions électriques 90 cm,Lit médicalisé enfant Kalin Winncare
LOCLIT120,Location lit médicalisé Grande largeur (patient  de + de 135 KG) simple sommier,Lit médicalisé enfant Kalin Winncare
LOCASPITRACH,Location aspirateur tracheal,Coussin Triangulaire POZ IN FORM 12 - 60 x...
LOCAEROMANO,Location appareil générateur aérosol manosonique DTF,Lit médicalisé enfant Kalin Winncare
LOCTIRELAITSTD,Location tire lait standard,Set tétine et capuchon de biberon
LOCTIRELAITPRO,Location tire lait Minikit Pro DTF,Set tétine et capuchon de biberon
LOCNEURO,Location neurostimulateur TENS ECO 2 - 1 sachet d'électrodes offert  (32 ou 50 mm),Bandelettes de cétonémie pour lecteur...
LOCUROSTIMW,Location urostim wireless,Ceinture lombaire DonJoy POROSTRAP - M -...
LOCCOMP,Location matelas air & compresseur,Bouchon luer lock mâle avec site d'injection
LOCFRM1ACC,Location fauteuil roulant manuel 1 accessoire jusqu'à 52 sem.,Fauteuil roulant Action 3 NG Transit 43 cm
LOCUROSTIM,Location urostim 2,Nettoyant quotidien Deterg'Anios
LIVFRM,Forfait livraison fauteuil roulant,Masque réanimateur de poche avec étui...
CGRROUSTD,Chaise garde robe à roulettes,Nettoyant quotidien Deterg'Anios
COUSSINPOSUNI,Coussin de positionnement universel 50x35,Coussins Kalli Visco 42 x 42 x 8 cm
COUSSINPOSBO,Coussin de positionnement bouée,Coussins Kalli Visco 42 x 42 x 8 cm
COUSSINPOSDL,Coussin de positionnement demi lune 200X35,Coussins Kalli Visco 42 x 42 x 8 cm
MATELASCL290,Matelas anti escarre classe 2 - 90cm,Drap Housse Standard 90x200 Dermofresh
MATELASSCL2120,Matelas anti escarre classe 2 - 120cm,Compresse de lin Phytotherma
COUSSINAEXL,Coussin anti escarre classe 2 + de 45,Accroche-canne Patterson
LIVASPITRACH,Forfait livraison à domicile aspirateur tracheal,Poche de froid à usage unique. 14 X 18 Cm
COUSSINAESTD,Coussin anti escarre classe 2 taille standard,Accroche-canne Patterson
LIVDESINF90,Forfait désinf./ livraison lit 90 cm,Anti-adhésif
COUSSINAEXS,Coussin anti escarre classe 2 -de 38cm,Accroche-canne Patterson
RELEVEUR1M,Fauteuil releveur 1 moteur à partir de,Fauteuil releveur électrique Minirelax
RELEVEUR2M,Fauteuil releveur  2 moteurs à partir de,Fauteuil releveur électrique Minirelax
PACKDRAPBL,Pack de draps bleu pour lit de 90 cm,Sparadrap 3M™ Micropore™ sans dévidoir...
PACKDRAPBC,Pack de draps blancs pour lit de 90 cm,Sparadrap 3M™ Micropore™ sans dévidoir...
BASSINCOUV1,bassin de lit avec couvercle,Élévateur de piscine Eco Pool
BASSINCOUV0,Bassin de lit sans couvercle,Élévateur de piscine Eco Pool
URINALH,Urinal Homme avec bouchon,Urinal anti-déversement Urolis
URINALHRFX,Urinal Homme anti reflux,Sonde urinaire SpeediCath Compact Set Homme
URINALF,Urinal Femme,Urinal anti-déversement Urolis
REHWCCLIP,Réhausse wc à clips,HEXAslip Maxi M - Sachet de 20
REHWCCONF,Réausse wc confort,Orthèse stabilisatrice de cheville Aircast...
PLANCHE,Planche de Bain,Planche de bain - 70 cm - Aquaplanche
TABROND,Tabouret de douche assise ronde,Pansement hydrocellulaire non adhésif pour...
TABRECT,Tabouret de douche rectangulaire,Table de lit avec piètement 3 positions...
CHDOUCHEREC,Chaise de douche rectangulaire,Fauteuil handbike Shark RT RGK
NEBULAD,Nébuliseurs micromist adulte,Protection anatomiques Suprem Form Regular...
NEBULENF,Nébuliseurs micromist enfant,Nébuliseur MICRO MIST avec masque adulte
FRMCONF,"Fauteuil roulant manuel de confort, dossier inclinable",TENA ProSkin Wash Cream / 3-en-1 - Flacon...
FAPSTDELEC,"Fauteuil à pousser standard, inclinaison électrique avec coussin anti-escarre et appareil de soutien partiel de la tête.",Sabot ZeroPlus Noir 37
FAPCONFELEC,"Fauteuil à pousser confort, inclinaison électrique",Aiguilles hypodermiques - Noires - 22 G -...
FAPCONFLEVER,Fauteuil à pousser confort avec aide au lever,Aiguilles hypodermiques - Noires - 22 G -...
CANNEANATDR,Canne anatomique main droite,Câbles moyens pour électrodes ActiTENS -...
CANNEANATGA,Canne anatomique main gauche,Robinet 3 voies BD Connecta™
CANNEMARPLI,Canne de marche pliante,Barre d'appui cannelée à fixer - 30 cm
FRMTRA,Fauteuil de transfert,Fauteuil roulant sportif Elite RGK
FRMSTDDF,"Fauteuil roulant manuel standard, dossier fixe",Distributeur savon ABS à fermeture à clé...
FRMSTDDI,"Fauteuil roulant manuel standard, dossier inclinable",Distributeur savon ABS à fermeture à clé...
CGR3EN1,Chaise percée de douche modulaire Pico commode Aquatec®,Liniment Oléo-Calcaire BIO 900 ml Baby Green
DEAMBFIX,Déambulateur fixe,Régulateur de débit Neoflow avec perfuseur...
DEAMBPLI,Déambulateur pliant,Coussin chauffant avec des noyaux de...
ROLL2STD,Rollator 2 roues standard,Fauteuil roulant électrique à propulsion...
ROLL3STD,Rollator 3 roues standard,Fauteuil roulant électrique à propulsion...
ROLL4STD,Rollator 4 roues standard,Fauteuil roulant électrique à propulsion...
ROLL4LEG,Rollator 4 roues lèger,Planche de transfert pliable Roller Slide...
CANNETRIP,Canne tripode,Canne Pliante avec poignée en T
CANNEANGLSTD,Canne anglaise standard,Barre d'appui cannelée à fixer - 30 cm
CANNANGLBM,Canne anglaise standard,Barre d'appui cannelée à fixer - 30 cm
CGRFIXESTD,Chaise garde robe fixe standard,Stéthoscope Cardiology IV - Edition...
TABLEHETRE,Table de lit 60x40cm plateau hêtre,Tablette multifonctions pour fauteuil...
LIVDESINF120,Forfait désinf./ livraison lit 120 cm/140 cm,Fauteuil roulant actif dossier réglable...
